"NGÀY","Tháng","ID","FANPAGE","Chiến dịch","TỔNG","SPAM","TIỀM NĂNG","CHẤT LƯỢNG","ĐẶT HẸN","ĐẾN PK","CHỐT","BILL","Ngân sách mục tiêu","Ngân sách thực tế","KPI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"04/03/2025","03.2025","44","3 PAGE TGIL","VTV - Liên hoàn cước - Trường Giang","4","3","1","0","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05/03/2025","03.2025","43","3 PAGE TGIL","Bảng giá Implant","2","1","1","0","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08/03/2025","03.2025","43","3 PAGE TGIL","Bảng giá Implant","6","5","1","0","0","1","1","  52.600.000 ","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08/03/2025","03.2025","45","3 PAGE TGIL","Trồng răng Ưu đãi 5%","1","0","1","0","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"09/03/2025","03.2025","45","3 PAGE TGIL","Trồng răng Ưu đãi 5%","3","0","1","2","0","2","1","  350.000 ","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/03/2025","03.2025","45","3 PAGE TGIL","Trồng răng Ưu đãi 5%","3","0","1","2","1","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/03/2025","03.2025","41","3 PAGE TGIL","HTV9","3","0","1","2","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13/03/2025","03.2025","43","3 PAGE TGIL","Bảng giá Implant","4","3","1","0","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16/03/2025","03.2025","45","3 PAGE TGIL","Trồng răng Ưu đãi 5%","1","0","1","0","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16/03/2025","03.2025","41","3 PAGE TGIL","HTV9","4","2","1","1","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
